id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35060034,Open House Contemporary Elegant Modern Design,5228189,Matthew,,West Town,41.89499,-87.65478,Entire home/apt,4500,1,0,,,17,297,0,2385047
35069099,RIVER NORTH LUXURY APARTMENT W/ 25 Yard Lap Pool,3965428,Rob,,Near North Side,41.89193,-87.63558,Entire home/apt,165,32,0,,,88,281,0,
35129146,Cozy apartment to call home.,228470290,Bellanger,,Austin,41.88428,-87.75062,Entire home/apt,250,1,1,2020-08-15,0.05,1,365,0,R18000028018
35132439,Near West Penthouse Steps from West Loop,5363429,Larry,,Near West Side,41.8839,-87.68541,Entire home/apt,103,1,9,2021-09-20,0.26,2,226,4,City registration pending
35149761,Cozy Spacious Condo Sleeps 6,46400255,David,,East Garfield Park,41.88563,-87.70512,Entire home/apt,96,2,121,2022-02-27,3.60,1,100,52,R21000075218
35153204,3BDR Apt in South Loop Close to McCormick Center,163739390,Ralph,,Loop,41.87123,-87.63128,Entire home/apt,400,32,6,2019-11-14,0.18,9,0,0,City registration pending
35158630,Comfy River West Apt with Free Gated Parking,145239744,Mando,,West Town,41.88983,-87.64413,Entire home/apt,182,2,44,2022-03-13,1.36,2,70,3,R21000071099
35182808,Bungalow 92 | Prime Logan Square  | Steps to Train,31710957,Mari,,Logan Square,41.92162,-87.70129,Entire home/apt,149,1,35,2021-08-29,1.03,1,0,5,R21000073817
35183040,Massive Old Town home steps to Wells St & Beach,200416010,Saul,,Near North Side,41.90939,-87.63724,Entire home/apt,1290,1,68,2022-03-13,2.37,8,330,41,City registration pending
35195852,3437 2nd floor,192298305,Irma,,Humboldt Park,41.91068,-87.71291,Entire home/apt,200,1,3,2021-11-27,0.46,1,364,3,R18000027242
35212437,BANGTEL'S ALOHA 2.0 Tropical 5 Bed in Wicker Park,4069585,Liz,,West Town,41.90869,-87.67498,Entire home/apt,721,32,41,2022-02-20,1.22,4,277,15,City registration pending
35217934,"Lakefront condo: Safe, secure & clean",246868391,Mr. Phillips,,South Shore,41.75824,-87.55608,Private room,45,1,23,2021-07-31,0.68,1,0,3,R19000041816
35229142,Garden Quarters,217927066,Helen,,Austin,41.88399,-87.76509,Private room,42,32,19,2022-03-06,0.63,7,316,9,R19000038589
35230615,"Cozy, Bright and a Great Location!",46939427,Anthony,,Logan Square,41.92803,-87.69757,Entire home/apt,163,2,9,2022-02-20,0.27,6,340,5,R17000015121
